field_type,date,impressions_sum_sum,clicks_sum_sum,cost_micros_sum_sum
StructuredSnippet,2022-03-30,1749716,321505,5935275387376
StructuredSnippet,2022-03-31,1664236,328214,5323148783058
StructuredSnippet,2022-04-01,1726870,390289,4768168397385
StructuredSnippet,2022-04-02,1763407,385258,4230211879202
StructuredSnippet,2022-04-03,1704529,363167,4163884278951
StructuredSnippet,2022-04-04,1588060,312436,4793255060499
StructuredSnippet,2022-04-05,1610395,312347,5074893279727
StructuredSnippet,2022-04-06,1590584,296655,4209883324564
StructuredSnippet,2022-04-07,1562362,296248,4442351413925
StructuredSnippet,2022-04-08,1522223,306522,3817755545028
StructuredSnippet,2022-04-09,1589150,323888,3505836225510
StructuredSnippet,2022-04-10,1617917,316000,3533423890593
StructuredSnippet,2022-04-11,1525684,289691,3816278772629
StructuredSnippet,2022-04-12,674211,149362,3619645342932
StructuredSnippet,2022-04-13,11,0,0
